Question,Option1,Option2,Option3,Option4,answer
What are the punishments for people who break traffic laws?,A: They are charged a fine only and nothing else,B: Their driving licence can get revoked,C: They can be fined or sent to prison,D: All of the above,4
What does the concept of equal opportunity mean?,A: What someone achieves in life should be as a result of their wealth or background rather than their talents work and effort.,B: What someone achieves in life should be as a result of their talents work and effort rather than their wealth or background.,C: What someone achieves in life is only because of their good luck,D: None of the above,4
What do the national colours of Australia represent?,A: the colours of the golden wattle,B: the colours of the silver wattle,C: the colours of the wattle,D: the colours of the yellow wattle,4
In Australia’s court system who is considered innocent?,A: Any criminal without evidence,B: Everyone is considered innocent until proven guilty in court,C: Everyone is a criminal until proven innocent in court,D: No one is considered innocent,4
What can people do under freedom of speech?,A: Criticise the government,B: Protest peacefully against the government,C: Campaign to change laws,D: All of the above,4
Why did the Europeans pick Australia to come to?,A: Large numbers of Europeans came to Australia to marry,B: Large numbers of Europeans came to Australia to study,C: Large numbers of Europeans came to Australia to build a new life.,D: None of the above,4
What is the national police force of Australia called?,A: National Australian Federal Police,B: Federal Police of Australia,C: Australian Federal Police,D: Police Force of Australia,4
Under what conditions can Australian citizens hold the citizenship of another country or countries?,A: If the law of those countries allow,B: If the law of Australia allows,C: If the World law allows,D: All of the above,4
How do Australians believe change should happen?,A: Through war,B: Through a military coup,C: Through discussion peaceful persuasion and the democratic process,D: All of the above,4
What does the Union Jack represent in the Australian national flag?,A: It is the flag of the USA,B: It is the flag of the UK,C: It is the flag of Australia,D: It is the flag of Austria,4
What duty does an Australian citizen have towards the law of the country?,A: Laws are meant to be broken,B: You must obey the laws of Australia,C: You must obey the laws of Australia if you think they are correct,D: None of the above,4
Who becomes the Prime Minister of Australia?,A: The leader of the party or coalition parties,B: The one who is elected by the Queen,C: The one who has the majority of votes in the election,D: The one who was chosen by the people of Australia,4
Who is encouraged to actively participate in the Australian society?,A: Youngsters,B: Elderly,C: Job holders,D: All citizens,4
What is an example of an Australian law that should be followed when the citizen is overseas?,A: It’s illegal for Australians to be involved in any sexual activity here or overseas with a child under 16 years of age.,B: You don’t need to follow Australian laws overseas,C: Drinking under 20 is not allowed,D: All of the above,4
What does the jury service ensure?,A: The court system is rapid and quick,B: The court system is open and fair,C: Both A and B,D: None of the above,4
What do you pledge about at the citizenship ceremony?,A: You pledge to have a say in the working of the Australian government,B: You pledge to uphold and obey the laws of Australia,C: You pledge to participate in making the society of Australia wonderful,D: None of the above,4
When is Australia Day celebrated?,A: 25th January,B: 26th January,C: 27th January,D: 28th January,4
Which religion are the people in Australia preferred to choose?,A: Any religion they choose,B: They many also not follow a religion,C: Both A and B,D: Christianity,4
What type of coastline does South Australia have?,A: Rugged coastline,B: Smooth coastline,C: Fresh coastline,D: It is different in different areas,4
On what does the heritage of the early settlers have an influence?,A: Australia’s politics,B: Australia’s culture,C: Australia’s history,D: All of the above,4
What is the Commonwealth of Australia?,A: It is a federation of different countries,B: It is a federation of states and territories,C: None of the above,D: Both A and B,4
Who should obey the laws made in Australia?,A: All Australian citizens and other people in Australia,B: Only Australian citizens,C: Only people who come over to visit,D: Only people who plan to go to Australia,4
What does a constitutional monarchy mean?,A: It means that the Queen is the Head of State and she has ultimate power,B: It means that the Queen is the Head of State and she has partial power,C: It means that the Queen is the Head of State and she has to act in accordance with the Constitution,D: It means that the Queen is the Head of State and she can abolish the Constitution whenever she wants,4
As an Australian citizen which jobs can you apply for?,A: None,B: The Australian Public Service or the Australian Defence Force,C: The American Public Service or the Australian Defence Force,D: The National Public Service or the Australian Defence Force,4
What is the age of sexual consent in Australia?,A: 15,B: Any age,C: 16 or 17 depending on the state you are in,D: 18,4
Voting is an important responsibility right and privilege for all Australian citizens above which age?,A: 15,B: 17,C: 18,D: 20,4
On Australia Day communities across Australia do what?,A: They drink and party,B: They hold memorials,C: They go out of station,D: They reflect on the history and the people who have contributed to Australia’s shared achievements.,4
What other names does the Australian Government go by?,A: The Federal Government,B: The Commonwealth Government,C: Both A and B,D: The Government of Australia,4
What is the official religion in Australia?,A: Chirstianity,B: Buddhism,C: There is no official religion in Australia,D: Islam,4
In a federal election who do the Australian citizens vote to elect?,A: Representatives of both Houses,B: Representatives of The House of Representatives,C: The Senate,D: None of the above,4
What was the gold rush all about?,A: When gold was discovered in the colonies of Scotland and Victoria,B: When gold was discovered in the colonies of Britain and Victoria,C: When gold was discovered in the colonies of New South Wales and Victoria,D: When gold was discovered in the colonies of New South Wales and Scotland,4
What is European settlement Australia?,A: People migrated from Europe to Australia,B: The first 11 convict ships arrived from Great Britain to Australia,C: Australia opened its borders for trade,D: All of the above,4
When were the separate colonies united into a federation of states called the Commonwealth of Australia,A: 1900,B: 1901,C: 1902,D: 1903,4
Who decides if the person is guilty or not?,A: The court,B: The police,C: The government,D: The people,4
What happens if the judge and magistrate do not make decisions that the government agrees with?,A: Nothing the government does not have any say in it,B: If the government disagrees it can take away their jobs,C: The final decision is with the government so they never disagree,D: Both B and C,4
What is a political party?,A: The winners of the elections,B: A group of people who share different ideas about how a country should be governed,C: A group of people who share same ideas about how a country should be governed,D: None of the above,4
What should we keep in mind when talking about freedom of speech and expression?,A: We must alway try to put forth our point,B: We should listen to everyone and not respect what they say,C: We must also respect other people’s freedom of speech and freedom of expression,D: None of the above,4
What does volunteering help with?,A: Share knowledge learn new skills and increase your integration into and sense of belonging to the Australian community,B: Share knowledge and find your soul partner,C: Find your soul partner and make rich friends,D: All of the above,4
What responsibility do Australian citizens have if the need to defend Australia arises?,A: Australian citizens should defend Australia should the need arise,B: Australian citizens should not defend Australia should the need arise,C: It is the choice of the Australian citizens to defend or not defend Australia should the need arise,D: None of the above,4
How is the environment in the north of the Northern Territory?,A: Dry,B: Desert,C: Tropical environment,D: All of the above,4
In which institutions does the Australian Parliament divide the power of government?,A: The legislative powers are with the Parliament,B: The executive powers are with the Prime Minister and the Cabinet.,C: The Judicial powers are with the Judges,D: All of the above,4
What is the colour of the top half of the Australian Aboriginal Flag?,A: Black,B: Yellow,C: Red,D: White,4
What do the people do on Anzac Day?,A: Remember the sacrifice of people of the world who served and died in wars conflicts and peacekeeping operations.,B: Anzac Day is a solemn day when we remember the sacrifice of all Australians who served and died in wars conflicts and peacekeeping operations.,C: Anzac Day is a solemn day when we remember the sacrifice of all Russians who served and died in wars conflicts and peacekeeping operations.,D: None of the above,4
Which colour represents land on the Torres Strait Islander Flag?,A: Brown,B: Green,C: Black,D: White,4
What happened in the 1967 Referendum?,A: 80% of Australian voted “Yes” to allow Aboriginal peoples to be counted in the Census,B: 85% of Australian voted “Yes” to allow Aboriginal peoples to be counted in the Census,C: 90% of Australian voted “Yes” to allow Aboriginal peoples to be counted in the Census,D: 100% of Australian voted “Yes” to allow Aboriginal peoples to be counted in the Census,4
What do the points on the white star of the Torres Strait Islander flag represent?,A: The island groups in the Torres Strait,B: The island groups in the Reef nearby,C: The island groups in the Aboriginal State,D: None of the above,4
What is the Cabinet?,A: A cupboard where all the important files are kept,B: A desk where all the important files are kept,C: The key decision making body of government,D: None of the above,4
What should people in Australia do if they suspect their friend or neighbour is planning to commit a serious crime?,A: They should run and inform their family members,B: They should report it to the authorities WHEN the person has committed a crime,C: They should report this to the Australian government as soon as possible,D: All of the above,4
What role does the Prime Minister play in the election process of the Senators who can become Ministers in the Australian Government?,A: The Prime Minister recommends Senators to become ministers in the Australian Government.,B: The Prime Minister chooses Senators to become ministers in the Australian Government.,C: The Prime Minister short lists Senators to become ministers in the Australian Government.,D: All of the above,4
In Australia how is voting carried out?,A: It is carried out in public in front of the candidates,B: It is carried out by announcing the names of preferred candidates on microphone,C: It is carried out by secret ballot,D: All of the above,4
When the Governor-General signs the Bill what does it become?,A: It becomes a law,B: It becomes just another piece of paper,C: It is negotiable and can be reverted if others dont agree to it,D: None of the above,4
Who should accept being treated badly or being harmed?,A: A woman/man who had a love marriage,B: A woman/man who come from a broken family,C: Both A and B,D: No one,4
How did the first colony survive and develop?,A: More and more convicts were sent over,B: More and more free settlers came,C: None of the above,D: Both A and B,4
What is an Australian citizen's duty when it comes to voting?,A: To vote in federal state or territory elections,B: To vote in a referendum,C: Both A and B,D: None of the above,4
What are the State and Territory governments primarily responsible for?,A: Hospitals and health services,B: Schools roads and railways and forestry police,C: Ambulance services and public transport,D: All of the above,4
Which agency is responsible for conducting federal elections and referendums?,A: Australian High Commission (AHC),B: Australian Electoral Commission (AEC),C: Australian Engineering Commission (AEC),D: Australian Entertainment Commission (AEC,4
What is the capital of the Northern Territory?,A: Perth,B: New Castle,C: Darwin,D: Pittsburgh,4
Does sexual orientation have anything to do with the type of treatment you get from others?,A: Yes,B: No,C: Depends in which area you live,D: You need to hide your sexual orientation,4
Over what time period has the diversity of Australia’s population increased?,A: Last century,B: Last two centuries,C: Last three centuries,D: It was always diversified,4
Who is the Member of Parliament chosen by a government leader to be responsible for an area of government?,A: The government minister,B: The Chief Minister,C: The Minister in Charge,D: All of the above,4
What happened on 1 January 1901?,A: The Australian Constitution came into effect and Australian colonies became independent,B: The Australian Constitution came into effect and Australian colonies were eliminated,C: The Australian Constitution was dissolved,D: The Australian Constitution came into effect and Australian colonies became one,4
By voting what do Australian citizens have a say in?,A: How to influence the decisions of the government,B: How Australia works towards world peace,C: How Australia is governed and contribute to its future,D: None of the above,4
Who can protest against a government action or an organisation in Australia?,A: Australians,B: Americans,C: Politicians,D: Monarchs,4
What type of government does Australia have?,A: Secular,B: Monarch,C: Non secular,D: None of the above,4
Which House of the Australian Parliament is also known as the People’s House?,A: The Senate,B: The Parliament,C: The House of Representatives,D: Both A and C,4
Where are the state and territory governments based?,A: In the capital cities of the states and territory government,B: In the President’s House,C: Anywhere they want to establish their headquarters,D: No one knows the location,4
What does mutual respect and tolerance mean in Australia?,A: You should always listen and do what someone wants you to do.,B: You should not listen and respect the views and opinions of others,C: You should listen and respect the views and opinions of others even if they are different from yours,D: Both A And B,4
Does every mainland territory have its own capital?,A: Yes,B: No,C: Some have others done,D: Canberra is the capital of all the territories,4
What comes under domestic and family violence?,A: Signing a divorce against the will of the partner,B: Hitting isolating a family member from friends and family or threatening children or pets,C: Both A and B,D: None of the above,4
What does freedom of expression mean?,A: People can express their views,B: People can’t express their views,C: People are forbidden to talk about politics,D: Both B and C,4
What colour is the bottom half of the Australian Aboriginal Flag?,A: Black,B: Yellow,C: Red,D: White,4
When did the migration levels rise and fall in Australia?,A: First half the of the 20th century,B: Second half of the 20th century,C: First half of the 21st century,D: Second half of the 21st century,4
Who performs multiple ceremonial duties?,A: The Governor-General,B: The President,C: The Prime Minister,D: The Queen,4
Who can apply for a divorce?,A: Either a husband or a wife may apply for a divorce to the courts if both want to end the marriage,B: Only the wife may apply for a divorce to the courts if both want to end the marriage,C: Either a husband or a wife may apply for a divorce to the courts even if the other spouse wishes to continue the marriage,D: Only the husband may apply for a divorce to the courts if both want to end the marriage,4
What are the laws regarding divorce in Australia?,A: It is not acceptable,B: It is acceptable,C: It is frowned upon,D: There are no laws regarding divorce in Australia,4
How many Houses does the Australian Parliament have?,A: 1,B: 2,C: 3,D: 4,4
